benchmark,model,par_type,run,input_tokens,output_tokens,cached_tokens,api_time,total_time,code_additions,code_deletions,non_whitelisted_dependencies,validation_status,validation_err_string,benchmark_success,benchmark_times,benchmark_median_time,source_batch,source_path,total_tokens,benchmark_wall_times,benchmark_config_sha256
black-scholes,claude-opus-4.6,cuda,1,513600.0,16600.0,466900.0,278.476,294.83,97,11,"",5,"",true,33.174;33.268;33.188;33.203;33.177,33.188,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r1,530200.0,2.97325627412647;3.024082417599857;3.0245420690625906;3.0238851876929402;2.973635096102953,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,cuda,2,342200.0,16800.0,311900.0,242.912,258.0,80,36,"",5,"",true,27.073;27.084;31.365;31.351;31.391,31.351,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r2,359000.0,3.2235184255987406;3.2247431706637144;3.2248051464557648;3.2247280506417155;3.2242794055491686,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,cuda,3,327700.0,11300.0,300900.0,161.69,187.53,124,49,"",5,"",true,21.652;21.66;21.667;21.659;21.647,21.659,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r3,339000.0,5.1315191043540835;5.179817862808704;5.079453198239207;5.129736177623272;5.178289352916181,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,cuda,4,294400.0,13200.0,250900.0,197.0,283.86,71,29,"",5,"",true,28.537;28.536;32.94;32.94;32.948,32.94,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r4,307600.0,3.0241665141656995;3.0240849182009697;3.0744480658322573;3.0242655128240585;3.0235607801005244,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,cuda,5,180500.0,8500.0,121200.0,104.0,193.58,123,45,"",5,"",true,21.407;21.419;20.34;21.408;21.409,21.408,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r5,189000.0,5.129629500210285;5.12869958486408;5.127492301166058;5.130854209885001;5.178999577648938,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,hybrid,1,614200.0,30800.0,559100.0,423.803,450.53,205,46,"",5,"",true,1044.498;1036.573;1054.802;1034.719;1047.698,1044.498,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r1,645000.0,7.2845819080248475;7.335438227280974;7.284454572014511;7.3340701991692185;7.384357362985611,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,hybrid,2,732100.0,12500.0,654900.0,177.627,215.94,280,47,"",5,"",true,2399.798;2390.077;2383.245;2374.549;2381.739,2383.245,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r2,744600.0,15.654521200805902;15.60362455714494;15.605692512355745;15.802571094594896;15.604620817117393,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,hybrid,3,350900.0,24800.0,301100.0,340.377,366.44,262,60,"",5,"",true,33.298;33.426;33.383;33.363;33.267,33.363,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r3,375700.0,8.738324436359107;8.637646197341383;8.63819077052176;8.738809226080775;8.687406921759248,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,hybrid,4,973000.0,51700.0,892700.0,741.0,872.11,242,49,"",5,"",true,33.303;33.275;33.399;33.397;33.384,33.384,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r4,1024700.0,8.638540578074753;8.587917476892471;8.63723530806601;8.686775277368724;8.537325227633119,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,hybrid,5,486800.0,25200.0,394500.0,348.0,454.71,235,66,"",5,"",true,21.697;21.693;21.643;21.694;21.667,21.693,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r5,512000.0,13.649581289850175;13.648811950348318;13.698425089940429;13.749247221276164;13.64811246842146,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,mpi,1,216300.0,5000.0,197500.0,72.626,87.3,93,37,"",5,"",true,10.216;10.478;10.949;8.769;8.535,10.216,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r1,221300.0,11.134956518188119;10.935559548437595;11.337494960054755;11.237355063669384;11.186744439415634,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,mpi,2,250000.0,5400.0,216000.0,77.983,94.6,90,45,"",5,"",true,12.834;7.327;9.166;7.572;7.445,7.572,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r2,255400.0,10.985733143985271;10.985607646405697;11.437884543091059;10.935603335499763;11.18582789413631,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,mpi,3,221100.0,4500.0,203500.0,68.053,85.95,88,38,"",5,"",true,9.16;11.436;9.006;12.359;9.285,9.285,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r3,225600.0,11.286729695275426;10.986658344976604;10.986924632452428;11.089626556262374;11.239708947949111,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,mpi,4,259399.99999999997,4700.0,240800.0,73.0,149.47,94,41,"",5,"",true,11.157;8.983;10.54;9.635;10.962,10.54,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r4,264100.0,11.087215569801629;11.04346811864525;11.036294714547694;10.935976704582572;11.086256498470902,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,mpi,5,294500.0,7200.0,243300.0,115.0,202.87,104,46,"",5,"",true,8.557;10.241;10.971;11.523;12.094,10.971,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r5,301700.0,11.28991512954235;11.48953953012824;11.337782619521022;10.737035891972482;11.138084412552416,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,omp,1,122100.0,2000.0,98500.0,35.0,43.88,8,2,"",5,"",true,33.868;35.27;30.684;32.367;32.8,32.8,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_omp_r1,124100.0,2.873630715534091;2.824797854758799;2.873734808526933;2.824007151648402;2.8734625233337283,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,omp,2,156000.0,2500.0,139500.0,57.0,66.15,7,2,"",5,"",true,32.942;32.656;33.28;32.478;32.843,32.843,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_omp_r2,158500.0,2.8737724954262376;2.8238920411095023;2.8245257399976254;2.8223634734749794;2.8731863582506776,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,omp,3,184400.0,2600.0,94500.0,42.0,50.83,7,2,"",5,"",true,33.032;32.46;34.001;32.959;32.371,32.959,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_omp_r3,187000.0,2.8743017772212625;2.8229069905355573;2.8233779603615403;2.773559675551951;2.8737977584823966,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,omp,4,156700.0,2300.0,130100.0,39.0,48.31,7,2,"",5,"",true,32.686;33.107;32.865;33.907;32.664,32.865,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_omp_r4,159000.0,2.874832898378372;2.823450982570648;2.873302672058344;2.8232066594064236;2.874056862667203,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-opus-4.6,omp,5,230500.0,2400.0,141100.0,42.0,85.5,8,2,"",5,"",true,33.645;34.214;32.723;31.526;34.479,33.645,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_omp_r5,232900.0,2.8238934045657516;2.8228164929896593;2.874153303913772;2.8241121815517545;2.8231172915548086,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,cuda,1,692600.0,8700.0,646600.0,265.437,299.27,138,27,"",5,"",true,33.671;33.676;33.681;33.681;29.774,33.676,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_cuda_r1,701300.0,5.12895205244422;5.17870354373008;5.17894047871232;5.178714049048722;5.129568370059133,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,cuda,2,544200.0,6800.0,501900.0,136.25,161.56,66,13,"",5,"",true,29.17;33.765;33.754;33.779;33.757,33.757,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_cuda_r2,551000.0,3.2247655717656016;3.2245176685974;3.2252338072285056;3.224812490865588;3.22421333566308,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,cuda,3,400600.0,5800.0,381300.0,85.18,120.0,77,22,"",5,"",true,33.749;33.742;33.734;33.748;29.121,33.742,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_cuda_r3,406400.0,3.22399063128978;3.223608125001192;3.2239231849089265;3.2252997597679496;3.2749440353363752,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,cuda,4,377900.0,5500.0,343600.0,81.0,180.34,99,10,"",5,"",true,33.709;33.693;33.71;31.253;29.229,33.693,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_cuda_r4,383400.0,3.2239327635616064;3.2241578549146652;3.224526775069535;3.2248972365632653;3.275322215631604,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,cuda,5,599100.0,6900.0,576000.0,113.0,242.16,71,17,"",5,"",true,28.917;28.916;33.375;33.376;28.915,28.917,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_cuda_r5,606000.0,3.0242854449898005;3.02445315849036;3.074616691097617;3.073637188412249;3.0233431942760944,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,hybrid,1,881300.0,14000.0,851600.0,184.238,253.77,280,38,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_hybrid_r1,895300.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,hybrid,2,615500.0,9600.0,592000.0,125.456,170.74,245,38,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_hybrid_r2,625100.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,hybrid,3,612800.0,8900.0,586900.0,119.86500000000001,181.45,218,45,"",5,"",true,194.509;193.577;193.586;188.898;193.187,193.577,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_hybrid_r3,621700.0,13.597258914262056;13.546120826154947;13.696426228620112;13.647544694133103;13.94780857488513,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,hybrid,4,577800.0,9000.0,552700.0,138.0,369.3,246,48,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_hybrid_r4,586800.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,hybrid,5,562100.0,9400.0,538400.0,125.0,324.0,221,37,"",5,"",true,1074.748;1236.65;1212.531;1275.227;1215.918,1215.918,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_hybrid_r5,571500.0,15.050816038623452;15.150231095962226;15.201030982658267;15.29993010405451;15.30110375303775,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,mpi,1,389400.0,6800.0,370100.0,109.791,141.68,147,35,"",5,"",true,7.897;7.939;7.729;7.821;9.622,7.897,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r1,396200.0,11.992509347386658;12.192485738545656;12.248236920684576;11.841879477724433;11.891095872968435,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,mpi,2,490100.0,7200.0,456500.0,111.669,142.77,169,32,"",5,"",true,7.719;7.716;7.871;8.112;7.867,7.867,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r2,497300.0,11.943461500108242;11.992430186830461;11.941873911768198;11.941849255934358;11.941939659416676,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,mpi,3,415700.0,6100.0,394700.0,99.38499999999999,143.46,109,42,"",5,"",true,17.266;17.355;8.128;11.174;8.604,11.174,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r3,421800.0,15.85526814404875;16.15643531177193;16.410314830951393;15.752472184598446;16.003769195638597,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,mpi,4,519100.0,7100.0,497500.0,128.0,320.23,88,26,"",5,"",true,11.398;16.451;17.001;8.685;9.185,11.398,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r4,526200.0,15.707720153033733;15.854590934701264;15.902178036049008;15.901700342074037;16.052882812917233,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,mpi,5,330300.0,5400.0,311800.0,74.0,195.91,101,31,"",5,"",true,8.528;11.255;9.716;8.378;8.189,8.528,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r5,335700.0,16.05323501303792;15.704602904617786;16.05008637253195;15.702262161299586;16.10422683134675,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,omp,1,169100.0,2800.0,156000.0,50.0,59.92,8,2,"",5,"",true,33.832;31.923;32.608;33.006;32.851,32.851,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_omp_r1,171900.0,2.8236091565340757;2.7730886628851295;2.8236907543614507;2.8236508453264832;2.8236035723239183,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,omp,2,169100.0,2700.0,149800.0,52.0,61.8,7,2,"",5,"",true,32.226;32.529;35.241;34.002;34.407,34.002,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_omp_r2,171800.0,2.8236696794629097;2.8232673509046435;2.87487474642694;2.8238680651411414;2.823551695793867,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,omp,3,178200.0,2700.0,152200.0,43.0,53.05,7,2,"",5,"",true,36.263;33.777;34.723;33.514;34.143,34.143,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_omp_r3,180900.0,2.82356034219265;2.822704067453742;2.8249494014307857;2.8235584385693073;2.822963671758771,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,omp,4,307800.0,4300.0,290500.0,86.63,99.29,43,2,"",5,"",true,32.314;32.969;33.24;32.189;35.489,32.969,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_omp_r4,312100.0,2.823328126221895;2.8229413060471416;2.8741680160164833;2.8244638862088323;2.8729767687618732,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,claude-sonnet-4.5,omp,5,178300.0,2500.0,164200.0,39.0,80.95,7,2,"",5,"",true,32.492;33.661;32.54;33.479;32.327,32.54,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-sonnet-4.5_omp_r5,180800.0,2.873161096125841;2.8236837843433022;2.8239425821229815;2.8229356156662107;2.82384514156729,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,deepseek-v4-flash,cuda,1,359100.0,9400.0,335100.0,,113.62,66,14,"",5,"",true,28.421;28.468;31.492;33.192;33.205,31.492,20260616-150949,/home/petert/llm_para_experiments/20260616-150949/black-scholes_deepseek-v4-flash_cuda_r1,368500.0,2.9739818135276437;2.9734447868540883;2.974574309773743;2.973144426010549;3.0237126471474767,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,deepseek-v4-flash,cuda,2,516600.0,15200.0,491100.0,,171.92,76,16,"",5,"",true,28.938;28.947;33.575;33.562;33.555,33.555,20260616-150949,/home/petert/llm_para_experiments/20260616-150949/black-scholes_deepseek-v4-flash_cuda_r2,531800.0,3.1743569876998663;3.2230318505316973;3.2749920831993222;3.1748771108686924;3.2245370969176292,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,deepseek-v4-flash,cuda,3,346400.0,11800.0,321200.0,,147.17,79,18,"",5,"",true,33.116;33.109;33.083;33.093;33.105,33.105,20260616-150949,/home/petert/llm_para_experiments/20260616-150949/black-scholes_deepseek-v4-flash_cuda_r3,358200.0,2.973476062528789;2.973781079053879;2.974478214047849;2.975621177814901;3.024941833689809,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
black-scholes,deepseek-v4-flash,cuda,4,366500.0,11700.0,342800.0,,142.47,67,14,"",5,"",true,33.196;33.195;33.198;33.196;33.232,33.196,20260616-150949,/home/petert/llm_para_experiments/20260616-150949/black-scholes_deepseek-v4-flash_cuda_r4,378200.0,3.1729049403220415;3.1735973553732038;3.174465287476778;3.2240032851696014;3.2242941223084927,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970
