benchmark,par_type,rank,id,median_time,ratio_to_fastest,ratio_to_previous,gap_to_previous
black-scholes,cuda,26,black-scholes_claude-opus-4.6_cuda_r2,31.351,1.6060140361661799,1.0009578238242711,0.029999999999997584
black-scholes,cuda,27,black-scholes_gpt-5.6-sol-low_cuda_r1,31.422,1.6096511449208544,1.0022646805524544,0.0710000000000015
black-scholes,cuda,28,black-scholes_deepseek-v4-flash_cuda_r1,31.492,1.6132370267916603,1.0022277385271465,0.07000000000000028
black-scholes,cuda,29,black-scholes_gpt-5-mini_cuda_r4,31.612,1.6193842528558986,1.0038104915534103,0.11999999999999744
black-scholes,cuda,30,black-scholes_gpt-5.6-sol-low_cuda_r3,31.86,1.632088520055325,1.0078451221055296,0.2480000000000011
black-scholes,cuda,31,black-scholes_qwen-3.6-27B-udq4-pi-t_cuda_r2,32.371,1.6582654577122073,1.0160389202762086,0.5110000000000028
black-scholes,cuda,32,black-scholes_gpt-5.6-sol-xhigh_cuda_r3,32.439,1.6617488858152758,1.0021006456396155,0.06799999999999784
black-scholes,cuda,33,black-scholes_gpt-5-mini_cuda_r1,32.59,1.6694841452794427,1.004654890717963,0.15100000000000335
black-scholes,cuda,34,black-scholes_gpt-5.6-sol-low_cuda_r4,32.734,1.6768608165565289,1.004418533292421,0.14399999999999835
black-scholes,cuda,35,black-scholes_gpt-5.2-codex_cuda_r4,32.935,1.6871574202141284,1.006140404472414,0.2010000000000005
black-scholes,cuda,36,black-scholes_gpt-5.6-luna-xhigh_cuda_r4,32.939,1.6873623277496028,1.0001214513435555,0.003999999999997783
black-scholes,cuda,37,black-scholes_claude-opus-4.6_cuda_r4,32.94,1.6874135546334714,1.0000303591487294,0.0009999999999976694
black-scholes,cuda,38,black-scholes_gpt-5.2-codex_cuda_r2,32.944,1.6876184621689463,1.0001214329083183,0.0040000000000048885
black-scholes,cuda,39,black-scholes_gpt-5.6-sol-medium_cuda_r2,32.97,1.6889503611495311,1.0007892180670228,0.02599999999999625
black-scholes,cuda,40,black-scholes_gpt-5.6-terra-xhigh_cuda_r1,33.092,1.695200040981507,1.0037003336366395,0.12199999999999989
black-scholes,cuda,41,black-scholes_deepseek-v4-flash_cuda_r3,33.105,1.6958659904717994,1.0003928441919496,0.012999999999998124
black-scholes,cuda,42,black-scholes_gpt-5.6-terra-medium_cuda_r5,33.126,1.6969417550330412,1.0006343452650657,0.021000000000000796
black-scholes,cuda,43,black-scholes_gpt-5.6-luna-xhigh_cuda_r2,33.136,1.697454023871728,1.0003018776791646,0.010000000000005116
black-scholes,cuda,44,black-scholes_gpt-5.6-luna-xhigh_cuda_r1,33.144,1.697863838942677,1.0002414292612263,0.007999999999995566
black-scholes,cuda,45,black-scholes_gpt-5.6-luna-medium_cuda_r3,33.162,1.6987859228523128,1.0005430847212164,0.018000000000000682
black-scholes,cuda,46,black-scholes_qwen-3.6-27B-udq4-pi-t_cuda_r3,33.166,1.6989908303877872,1.0001206199867316,0.003999999999997783
black-scholes,cuda,47,black-scholes_deepseek-v4-flash_cuda_r5,33.175,1.699451872342605,1.000271362238437,0.009000000000000341
black-scholes,cuda,48,black-scholes_claude-opus-4.6_cuda_r1,33.188,1.700117821832898,1.0003918613413716,0.01300000000000523
black-scholes,cuda,49,black-scholes_deepseek-v4-flash_cuda_r4,33.196,1.700527636903847,1.0002410509822826,0.007999999999995566
black-scholes,cuda,50,black-scholes_gpt-5.2-codex_cuda_r1,33.203,1.7008862250909278,1.0002108687793712,0.007000000000005002
black-scholes,cuda,51,black-scholes_qwen-3.6-27B-udq4_cuda_r5,33.21,1.7012448132780082,1.0002108243231034,0.006999999999997897
black-scholes,cuda,52,black-scholes_gpt-5.6-luna-medium_cuda_r1,33.235,1.7025254853747245,1.0007527853056308,0.02499999999999858
black-scholes,cuda,53,black-scholes_qwen3.7-plus_cuda_r5,33.535,1.7178935505353208,1.0090266285542349,0.29999999999999716
black-scholes,cuda,54,black-scholes_deepseek-v4-flash_cuda_r2,33.555,1.718918088212694,1.000596391829432,0.020000000000003126
black-scholes,cuda,55,black-scholes_qwen-3.6-27B-udq4-pi-t_cuda_r1,33.581,1.720249987193279,1.0007748472656832,0.026000000000003354
black-scholes,cuda,56,black-scholes_qwen3.7-plus_cuda_r1,33.611,1.7217867937093385,1.0008933623179772,0.02999999999999403
black-scholes,cuda,57,black-scholes_qwen3.7-plus_cuda_r4,33.631,1.7228113313867117,1.0005950432893993,0.020000000000003126
black-scholes,cuda,58,black-scholes_claude-sonnet-4.5_cuda_r1,33.676,1.7251165411608012,1.0013380512027594,0.045000000000001705
black-scholes,cuda,59,black-scholes_claude-sonnet-4.5_cuda_r4,33.693,1.725987398186568,1.000504810547571,0.016999999999995907
black-scholes,cuda,60,black-scholes_claude-sonnet-4.5_cuda_r3,33.742,1.7284975154961322,1.001454308016502,0.04899999999999949
black-scholes,cuda,61,black-scholes_claude-sonnet-4.5_cuda_r2,33.757,1.729265918754162,1.0004445498192165,0.015000000000000568
black-scholes,cuda,62,black-scholes_gpt-5.6-sol-low_cuda_r5,34.317,1.7579529737206085,1.0165891518796102,0.5600000000000023
black-scholes,cuda,63,black-scholes_gpt-5.6-terra-xhigh_cuda_r2,34.361,1.7602069566108292,1.001282163359268,0.04399999999999693
black-scholes,cuda,64,black-scholes_qwen-3.6-27B-udq4_cuda_r4,37.584,1.9253112033195021,1.0937982014493177,3.223000000000006
black-scholes,cuda,65,black-scholes_gpt-5.2_cuda_r3,37.894,1.9411915373187847,1.008248190719455,0.30999999999999517
black-scholes,cuda,66,black-scholes_qwen-3.6-27B-udq4_cuda_r3,43.735,2.2404077659955943,1.154140497176334,5.841000000000001
black-scholes,cuda,67,black-scholes_gpt-5.6-sol-medium_cuda_r5,45.817,2.3470621382101324,1.0476048931062079,2.0820000000000007
black-scholes,cuda,68,black-scholes_gpt-5.6-terra-low_cuda_r4,48.414,2.4800983556170277,1.0566820175917235,2.5970000000000013
black-scholes,cuda,69,black-scholes_claude-haiku-4.5_cuda_r3,48.817,2.5007427898160954,1.00832403850126,0.4029999999999987
black-scholes,cuda,70,black-scholes_claude-haiku-4.5_cuda_r4,48.867,2.503304134009528,1.001024233361329,0.04999999999999716
black-scholes,cuda,71,black-scholes_gpt-5.6-luna-low_cuda_r5,49.193,2.5200040981507095,1.006671168682342,0.3260000000000005
black-scholes,cuda,72,black-scholes_claude-haiku-4.5_cuda_r5,49.364,2.5287638952922493,1.0034761043237859,0.17099999999999937
black-scholes,cuda,73,black-scholes_gpt-5.6-sol-medium_cuda_r3,143.889,7.370985092976794,2.914856980795722,94.525
black-scholes,cuda,74,black-scholes_gpt-5.6-terra-medium_cuda_r1,152.199,7.796680497925312,1.0577528511560994,8.310000000000002
black-scholes,cuda,75,black-scholes_gpt-5.6-terra-medium_cuda_r3,185.788,9.51734030018954,1.2206913317433097,33.589
black-scholes,cuda,76,black-scholes_gpt-5.6-luna-medium_cuda_r4,186.735,9.565852159213156,1.0050972075699185,0.9470000000000027
black-scholes,cuda,77,black-scholes_gemini-3-pro-preview_cuda_r2,187.067,9.582859484657549,1.0017779205826438,0.33199999999999363
black-scholes,cuda,78,black-scholes_gpt-5.2-codex_cuda_r3,187.424,9.601147482198657,1.001908407148241,0.3569999999999993
black-scholes,cuda,79,black-scholes_gpt-5.2_cuda_r2,188.999,9.681829824291787,1.0084034061806384,1.5749999999999886
black-scholes,cuda,80,black-scholes_gpt-5.6-luna-xhigh_cuda_r3,193.529,9.913887608216791,1.0239683807850835,4.530000000000001
black-scholes,cuda,81,black-scholes_gpt-5.6-terra-xhigh_cuda_r4,195.945,10.03765175964346,1.0124839171390334,2.415999999999997
black-scholes,cuda,82,black-scholes_gemini-3-pro-preview_cuda_r1,728.481,37.31781158752113,3.717783051366455,532.5360000000001
black-scholes,cuda,83,black-scholes_gpt-5.6-luna-low_cuda_r4,743.698,38.09733107935044,1.0208886710840777,15.216999999999985
black-scholes,cuda,84,black-scholes_gemini-3-pro-preview_cuda_r4,744.491,38.13795399825828,1.0010662930383032,0.7930000000000064
black-scholes,cuda,85,black-scholes_gpt-5.2-codex_cuda_r5,744.874,38.15757389477998,1.0005144454399046,0.3830000000000382
black-scholes,cuda,86,black-scholes_claude-haiku-4.5_cuda_r1,745.133,38.17084165770196,1.0003477098140088,0.25900000000001455
black-scholes,cuda,87,black-scholes_gpt-5-mini_cuda_r5,748.684,38.35274832231955,1.004765592182872,3.550999999999931
black-scholes,cuda,88,black-scholes_claude-haiku-4.5_cuda_r2,751.494,38.496695865990475,1.0037532523734982,2.810000000000059
black-scholes,cuda,89,black-scholes_gpt-5.6-luna-low_cuda_r1,751.968,38.52097740894421,1.0006307435588306,0.4739999999999327
black-scholes,cuda,90,black-scholes_gpt-5.6-luna-low_cuda_r2,754.12,38.63121766302956,1.0028618239074003,2.1520000000000437
black-scholes,cuda,91,black-scholes_gpt-5.6-luna-low_cuda_r3,754.809,38.66651298601506,1.0009136476953269,0.6889999999999645
black-scholes,cuda,92,black-scholes_gpt-5.6-terra-low_cuda_r2,755.182,38.68562061369807,1.0004941647489631,0.3730000000000473
black-scholes,cuda,93,black-scholes_gpt-4.1_cuda_r3,2178.047,111.57456072947082,2.884135215087224,1422.865
black-scholes,cuda,94,black-scholes_gpt-4.1_cuda_r4,2194.938,112.43983402489627,1.0077551127225446,16.891000000000076
black-scholes,cuda,95,black-scholes_gpt-5.6-luna-medium_cuda_r2,2654.849,135.99964141181292,1.2095325699404722,459.91100000000006
black-scholes,hybrid,1,black-scholes_claude-opus-4.6_hybrid_r5,21.655,1.0,,
black-scholes,hybrid,2,black-scholes_gpt-5.6-sol-medium_hybrid_r5,30.935,1.4285384437774185,1.4285384437774185,9.279999999999998
black-scholes,hybrid,3,black-scholes_qwen-3.6-27B-udq4_hybrid_r5,31.33,1.4467790348649272,1.0127687085825117,0.3949999999999996
black-scholes,hybrid,4,black-scholes_gpt-5.6-sol-medium_hybrid_r2,31.383,1.4492265065804664,1.001691669326524,0.053000000000000824
black-scholes,hybrid,5,black-scholes_gpt-5.6-sol-xhigh_hybrid_r1,31.558,1.457307781112907,1.0055762674059203,0.1750000000000007
black-scholes,hybrid,6,black-scholes_gpt-5.6-sol-xhigh_hybrid_r4,32.389,1.495682290464096,1.026332467203245,0.8310000000000031
black-scholes,hybrid,7,black-scholes_gpt-5.6-sol-medium_hybrid_r4,32.81,1.5151235280535673,1.0129982401432585,0.4209999999999994
black-scholes,hybrid,8,black-scholes_gpt-5.2-codex_hybrid_r4,33.277,1.5366889863772801,1.014233465406888,0.46699999999999875
black-scholes,hybrid,9,black-scholes_claude-opus-4.6_hybrid_r4,33.337,1.5394597090741169,1.001803047149683,0.060000000000002274
black-scholes,hybrid,10,black-scholes_gpt-5.6-terra-xhigh_hybrid_r2,33.343,1.5397367813438005,1.0001799802021778,0.006000000000000227
black-scholes,hybrid,11,black-scholes_deepseek-v4-flash_hybrid_r4,33.426,1.543569614407758,1.0024892781093482,0.08299999999999841
black-scholes,hybrid,12,black-scholes_claude-opus-4.6_hybrid_r3,33.433,1.5438928653890556,1.0002094178184646,0.006999999999997897
black-scholes,hybrid,13,black-scholes_gpt-5.6-sol-xhigh_hybrid_r3,33.528,1.5482798429923803,1.002841503903329,0.09499999999999886
black-scholes,hybrid,14,black-scholes_deepseek-v4-flash_hybrid_r2,33.845,1.5629184945740013,1.0094547840610832,0.31700000000000017
black-scholes,hybrid,15,black-scholes_gpt-5.6-terra-xhigh_hybrid_r3,34.312,1.584483952897714,1.0137981976658295,0.46699999999999875
black-scholes,hybrid,16,black-scholes_gpt-5.2_hybrid_r4,34.802,1.6071115215885476,1.014280718116111,0.490000000000002
black-scholes,hybrid,17,black-scholes_gpt-5.2_hybrid_r5,34.951,1.6139921496190255,1.0042813631400493,0.1490000000000009
black-scholes,hybrid,18,black-scholes_gpt-5.6-sol-low_hybrid_r1,37.799,1.7455091202955437,1.0814855082830248,2.847999999999999
black-scholes,hybrid,19,black-scholes_gpt-5.6-sol-medium_hybrid_r3,46.205,2.1336873701223733,1.2223868356305723,8.405999999999999
black-scholes,hybrid,20,black-scholes_gpt-5.2_hybrid_r2,48.81,2.253982913876703,1.0563791797424522,2.605000000000004
black-scholes,hybrid,21,black-scholes_gpt-5.6-luna-medium_hybrid_r2,48.879,2.2571692449780647,1.0014136447449293,0.06899999999999551
black-scholes,hybrid,22,black-scholes_gpt-5.6-sol-medium_hybrid_r1,49.987,2.308335257446317,1.022668221526627,1.108000000000004
black-scholes,hybrid,23,black-scholes_gpt-5.6-sol-low_hybrid_r4,61.913,2.8590625721542366,1.2385820313281453,11.925999999999995
black-scholes,hybrid,24,black-scholes_qwen-3.6-27B-udq4_hybrid_r2,75.103,3.468159778342184,1.213040879944438,13.189999999999998
black-scholes,hybrid,25,black-scholes_gpt-5.6-sol-xhigh_hybrid_r2,100.564,4.643915954744862,1.3390144201962637,25.461
black-scholes,hybrid,26,black-scholes_gpt-5.6-sol-xhigh_hybrid_r5,118.111,5.454213807434773,1.1744858995266696,17.54700000000001
black-scholes,hybrid,27,black-scholes_gpt-5.6-terra-xhigh_hybrid_r1,138.188,6.381343800507965,1.1699841674357172,20.076999999999984
black-scholes,hybrid,28,black-scholes_gpt-5.6-luna-xhigh_hybrid_r1,143.193,6.612468252135765,1.0362187744232496,5.005000000000024
black-scholes,hybrid,29,black-scholes_gpt-5.6-terra-xhigh_hybrid_r5,148.396,6.852736088663125,1.0363355750630265,5.2029999999999745
black-scholes,hybrid,30,black-scholes_gpt-5.6-terra-xhigh_hybrid_r4,153.532,7.089909951512353,1.0346100973072052,5.136000000000024
black-scholes,hybrid,31,black-scholes_gpt-5.6-luna-xhigh_hybrid_r4,163.434,7.547171553913645,1.0644946981736705,9.901999999999987
black-scholes,hybrid,32,black-scholes_gpt-5.6-luna-xhigh_hybrid_r2,181.683,8.389886862156546,1.1116597525606666,18.248999999999995
black-scholes,hybrid,33,black-scholes_gpt-5.6-sol-low_hybrid_r2,182.214,8.41440775802355,1.002922673007381,0.5310000000000059
black-scholes,hybrid,34,black-scholes_gpt-5.6-luna-xhigh_hybrid_r5,183.558,8.476471946432694,1.0073759425730184,1.343999999999994
black-scholes,hybrid,35,black-scholes_gpt-5.6-sol-low_hybrid_r5,185.675,8.574232278919418,1.011533139389185,2.1170000000000186
black-scholes,hybrid,36,black-scholes_gpt-5.6-terra-medium_hybrid_r4,187.598,8.663033941353037,1.0103568062474755,1.9230000000000018
black-scholes,hybrid,37,black-scholes_gpt-5.6-terra-low_hybrid_r4,187.816,8.673100900484876,1.0011620592970074,0.2179999999999893
black-scholes,hybrid,38,black-scholes_gpt-5.6-terra-low_hybrid_r2,187.849,8.674624797968136,1.0001757038803936,0.03299999999998704
black-scholes,hybrid,39,black-scholes_gpt-5.6-terra-medium_hybrid_r3,188.507,8.705010390210113,1.0035028134299357,0.6580000000000155
black-scholes,hybrid,40,black-scholes_gpt-5.6-terra-medium_hybrid_r2,191.575,8.8466866774417,1.0162752576827385,3.0679999999999836
black-scholes,hybrid,41,black-scholes_gpt-5.2-codex_hybrid_r2,192.382,8.883952897714154,1.0042124494323372,0.8070000000000164
black-scholes,hybrid,42,black-scholes_gpt-5.6-sol-low_hybrid_r3,192.407,8.885107365504503,1.000129949787402,0.025000000000005684
black-scholes,hybrid,43,black-scholes_deepseek-v4-flash_hybrid_r1,193.582,8.939367351650889,1.0061068464245062,1.174999999999983
black-scholes,hybrid,44,black-scholes_gpt-5.2-codex_hybrid_r5,193.59,8.9397367813438,1.0000413261563577,0.008000000000009777
black-scholes,hybrid,45,black-scholes_gpt-5.6-terra-medium_hybrid_r1,198.167,9.151096744400832,1.0236427501420529,4.576999999999998
black-scholes,hybrid,46,black-scholes_gpt-5.2-codex_hybrid_r1,199.967,9.234218425305935,1.0090832479676233,1.8000000000000114
black-scholes,hybrid,47,black-scholes_gpt-5.6-terra-low_hybrid_r1,200.497,9.258693142461325,1.002650437322158,0.5300000000000011
black-scholes,hybrid,48,black-scholes_gpt-5.2-codex_hybrid_r3,234.411,10.82479796813669,1.1691496630872282,33.91399999999999
black-scholes,hybrid,49,black-scholes_qwen-3.6-27B-udq4-pi-t_hybrid_r1,269.942,12.465573770491803,1.1515756513132915,35.531000000000006
black-scholes,hybrid,50,black-scholes_gpt-5.6-terra-medium_hybrid_r5,292.851,13.52348187485569,1.0848663787035733,22.908999999999992
black-scholes,hybrid,51,black-scholes_gpt-5.6-terra-low_hybrid_r3,295.45,13.643500346340335,1.0088748203011086,2.5989999999999895
black-scholes,hybrid,52,black-scholes_claude-sonnet-4.5_hybrid_r3,362.675,16.747864234587855,1.2275342697579963,67.22500000000002
black-scholes,hybrid,53,black-scholes_gpt-5.2_hybrid_r1,396.869,18.326899099515124,1.0942827600468739,34.19400000000002
black-scholes,hybrid,54,black-scholes_gpt-5.6-luna-medium_hybrid_r1,446.19,20.60447933502655,1.124275264633922,49.32099999999997
black-scholes,hybrid,55,black-scholes_qwen3.7-plus_hybrid_r1,476.619,22.009651350727314,1.068197404693068,30.42900000000003
black-scholes,hybrid,56,black-scholes_gpt-5.6-terra-low_hybrid_r5,574.001,26.506626645116597,1.204318333931295,97.38199999999995
black-scholes,hybrid,57,black-scholes_gpt-5.6-luna-medium_hybrid_r4,932.348,43.054629415839294,1.6242968217825404,358.347
black-scholes,hybrid,58,black-scholes_gpt-5-mini_hybrid_r4,1002.228,46.28159778342184,1.074950554943004,69.88
black-scholes,hybrid,59,black-scholes_gpt-5.2_hybrid_r3,1023.536,47.2655737704918,1.0212606313134336,21.307999999999993
black-scholes,hybrid,60,black-scholes_claude-haiku-4.5_hybrid_r3,1030.993,47.609928422996994,1.0072855278172923,7.456999999999994
black-scholes,hybrid,61,black-scholes_claude-opus-4.6_hybrid_r1,1050.563,48.513645809281925,1.0189817001667327,19.570000000000164
black-scholes,hybrid,62,black-scholes_claude-sonnet-4.5_hybrid_r5,1215.918,56.14952666820595,1.1573965578456502,165.3549999999998
black-scholes,hybrid,63,black-scholes_gpt-5.6-luna-low_hybrid_r3,1269.845,58.63980604941122,1.044350852606837,53.927000000000135
black-scholes,hybrid,64,black-scholes_qwen3.7-plus_hybrid_r3,1533.536,70.81671669360425,1.2076560525103457,263.69100000000003
black-scholes,hybrid,65,black-scholes_gpt-5.6-luna-medium_hybrid_r5,1576.644,72.80738859385822,1.028110197608664,43.10799999999995
black-scholes,hybrid,66,black-scholes_claude-haiku-4.5_hybrid_r4,1787.672,82.55238974832602,1.1338463216807346,211.02800000000002
black-scholes,hybrid,67,black-scholes_claude-opus-4.6_hybrid_r2,2385.094,110.14056799815285,1.33418994088401,597.422
black-scholes,hybrid,68,black-scholes_gpt-5.6-luna-xhigh_hybrid_r3,7909.842,365.2663126298776,3.3163648896018354,5524.748
black-scholes,mpi,1,black-scholes_qwen-3.6-27B-udq4_mpi_r5,7.818,1.0,,
black-scholes,mpi,2,black-scholes_gpt-5-mini_mpi_r5,7.846,1.0035814786390382,1.0035814786390382,0.02800000000000047
black-scholes,mpi,3,black-scholes_claude-sonnet-4.5_mpi_r1,7.897,1.0101048861601434,1.0065001274534795,0.051000000000000156
black-scholes,mpi,4,black-scholes_claude-sonnet-4.5_mpi_r2,7.926,1.0138142747505756,1.003672280612891,0.028999999999999915
black-scholes,mpi,5,black-scholes_qwen-3.6-27B-udq4_mpi_r3,8.23,1.052698899974418,1.038354781731012,0.30400000000000027
black-scholes,mpi,6,black-scholes_gpt-5-mini_mpi_r4,8.344,1.067280634433359,1.0138517618469014,0.11399999999999899
black-scholes,mpi,7,black-scholes_deepseek-v4-flash_mpi_r2,8.378,1.0716295727807623,1.0040747842761266,0.034000000000000696
black-scholes,mpi,8,black-scholes_deepseek-v4-flash_mpi_r1,8.381,1.072013302634945,1.000358080687515,0.0030000000000001137
black-scholes,mpi,9,black-scholes_claude-sonnet-4.5_mpi_r5,8.528,1.0908160654898953,1.0175396730700395,0.14700000000000024
black-scholes,mpi,10,black-scholes_gpt-5.6-sol-medium_mpi_r5,8.667,1.1085955487336916,1.0162992495309568,0.13899999999999935
black-scholes,mpi,11,black-scholes_qwen3.7-plus_mpi_r1,8.676,1.1097467382962396,1.0010384215991692,0.009000000000000341
black-scholes,mpi,12,black-scholes_gemini-3-pro-preview_mpi_r3,8.684,1.1107700179073932,1.0009220839096358,0.007999999999999119
black-scholes,mpi,13,black-scholes_claude-haiku-4.5_mpi_r5,8.724,1.115886415963162,1.004606172270843,0.040000000000000924
black-scholes,mpi,14,black-scholes_gpt-5.6-sol-low_mpi_r3,8.79,1.1243284727551803,1.0075653370013753,0.06599999999999895
black-scholes,mpi,15,black-scholes_gpt-5.6-luna-low_mpi_r5,8.889,1.136991557943208,1.0112627986348124,0.0990000000000002
black-scholes,mpi,16,black-scholes_qwen-3.6-27B-udq4_mpi_r1,9.02,1.1537477615758507,1.0147373157835526,0.13100000000000023
black-scholes,mpi,17,black-scholes_qwen3.7-plus_mpi_r2,9.021,1.153875671527245,1.0001108647450112,0.0010000000000012221
black-scholes,mpi,18,black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r4,9.111,1.1653875671527245,1.0099767209843697,0.08999999999999986
black-scholes,mpi,19,black-scholes_gpt-5.6-sol-medium_mpi_r4,9.14,1.169096955743157,1.0031829656459226,0.028999999999999915
black-scholes,mpi,20,black-scholes_gpt-5.6-sol-low_mpi_r2,9.181,1.1743412637503197,1.0044857768052515,0.04099999999999859
black-scholes,mpi,21,black-scholes_gemini-3-pro-preview_mpi_r2,9.253,1.1835507802507035,1.0078422829757108,0.07200000000000095
black-scholes,mpi,22,black-scholes_gpt-5.6-luna-xhigh_mpi_r4,9.258,1.1841903300076746,1.0005403652869338,0.004999999999999005
black-scholes,mpi,23,black-scholes_gpt-5.6-terra-xhigh_mpi_r5,9.284,1.1875159887439244,1.002808381939944,0.026000000000001577
black-scholes,mpi,24,black-scholes_deepseek-v4-flash_mpi_r4,9.285,1.1876438986953186,1.0001077121930202,0.0009999999999994458
black-scholes,mpi,25,black-scholes_gpt-5.6-luna-xhigh_mpi_r2,9.386,1.2005628037861344,1.010877759827679,0.10099999999999909
black-scholes,mpi,26,black-scholes_qwen3.7-plus_mpi_r3,9.435,1.2068303914044514,1.0052205412316217,0.049000000000001265
black-scholes,mpi,27,black-scholes_gpt-5-mini_mpi_r2,9.498,1.214888718342287,1.0066772655007947,0.06299999999999883
black-scholes,mpi,28,black-scholes_gpt-5.6-luna-xhigh_mpi_r1,9.513,1.2168073676132003,1.0015792798483891,0.015000000000000568
black-scholes,mpi,29,black-scholes_gpt-5.6-sol-xhigh_mpi_r3,9.53,1.218981836786902,1.0017870282770944,0.01699999999999946
black-scholes,mpi,30,black-scholes_claude-opus-4.6_mpi_r1,9.543,1.2206446661550268,1.0013641133263378,0.0129999999999999
black-scholes,mpi,31,black-scholes_claude-opus-4.6_mpi_r3,9.561,1.2229470452801228,1.0018861993083936,0.018000000000000682
black-scholes,mpi,32,black-scholes_gpt-5.6-terra-xhigh_mpi_r1,9.597,1.2275518035303146,1.0037652965171007,0.03599999999999959
black-scholes,mpi,33,black-scholes_gpt-5.6-terra-xhigh_mpi_r4,9.727,1.244180097211563,1.013545899760342,0.13000000000000078
black-scholes,mpi,34,black-scholes_qwen3.7-plus_mpi_r5,9.778,1.2507035047326682,1.0052431376580653,0.051000000000000156
black-scholes,mpi,35,black-scholes_gpt-5.6-luna-medium_mpi_r5,10.025,1.2822972627270404,1.0252607895275108,0.2469999999999999
black-scholes,mpi,36,black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r5,10.036,1.2837042721923766,1.0010972568578553,0.010999999999999233
black-scholes,mpi,37,black-scholes_gpt-5.6-luna-low_mpi_r4,10.06,1.286774111025838,1.0023913909924274,0.02400000000000091
black-scholes,mpi,38,black-scholes_gpt-5.6-terra-medium_mpi_r1,10.126,1.2952161678178562,1.0065606361829025,0.06599999999999895
black-scholes,mpi,39,black-scholes_gemini-3-pro-preview_mpi_r4,10.144,1.2975185469429522,1.0017776022121272,0.018000000000000682
black-scholes,mpi,40,black-scholes_gpt-5.6-sol-xhigh_mpi_r1,10.195,1.3040419544640574,1.0050276025236593,0.051000000000000156
