dimension,value,corrections,corrected_successes,corrected_failures,comparable_times,median_time_ratio,p10_time_ratio,p25_time_ratio,p75_time_ratio,p90_time_ratio,min_time_ratio,max_time_ratio,score_increases,score_decreases,score_unchanged,median_score_delta
model,gemini-3-pro-preview,64,64,0,64,1.0003289623250078,0.9860106979651866,0.9971465295238304,1.0052650303209598,1.0304538893344026,0.6502492285782103,1.1683760683760684,1,1,62,0.0
model,gpt-4.1,17,17,0,17,1.001088026527123,0.9670955228257659,0.9908405968385285,1.0100896860986548,1.0587149036750323,0.007951429889065137,1.2577903682719547,1,1,15,0
model,gpt-5-mini,16,16,0,16,0.998580728491336,0.9716565340314969,0.9824367806867651,1.0004260636995665,1.0019515717134122,0.9340992544786915,1.0264644182669034,2,1,13,0.0
model,gpt-5.2,12,12,0,12,0.9993485342019544,0.9907166081139961,0.9931802981347451,1.001740958480761,1.015309288776275,0.9866881553398059,1.0386934673366834,1,0,11,0.0
model,gpt-5.2-codex,13,13,0,13,1.0005019135453919,0.9968179573988292,0.9990704795232107,1.0024057738572574,1.01815908287087,0.9947735191637631,1.0242495443796786,0,0,13,0
model,gpt-5.6-luna-low,16,16,0,16,0.9981011735188281,0.9955661763856232,0.996229948384045,1.0010112617658324,1.002323869804683,0.9950707052683232,1.0058119658119657,0,1,15,0.0
model,gpt-5.6-luna-medium,12,12,0,12,0.9997228153478148,0.993609396171793,0.9946070533476549,1.0041230467521023,1.0178719110376753,0.8288650353563616,1.022705771050142,0,0,12,0.0
model,gpt-5.6-luna-xhigh,12,12,0,12,0.9958807246416532,0.9854232795060032,0.9886124711179132,0.9977820623725413,1.0034500048885815,0.7069319640564826,1.163323782234957,1,0,11,0.0
model,gpt-5.6-sol-low,15,15,0,15,1.0008586070959264,0.9813058168401805,0.9913947321385697,1.0039262382165517,1.006819536629513,0.9658632514069118,1.0178998848901584,1,0,14,0
model,gpt-5.6-sol-medium,4,4,0,4,0.9989624919137398,0.8839175955258947,0.9569850000506916,1.000550117553508,1.0009157628764014,0.8352059925093633,1.001159526424997,1,0,3,0.0
model,gpt-5.6-sol-xhigh,3,3,0,3,0.9986666666666667,0.9969390615904064,0.997586913494004,0.9993333333333334,0.9997333333333334,0.9965071603213412,1.0,0,0,3,0
model,gpt-5.6-terra-low,9,9,0,9,0.9989697802197802,0.9896819664060137,0.9967479674796748,1.0033441087950061,1.0213634127093434,0.9854697455569371,1.086205147282627,1,0,8,0
model,gpt-5.6-terra-medium,10,10,0,10,1.000989834187195,0.9942294649697859,0.9972562664085564,1.0014933222605182,1.0040832115379552,0.9925213675213675,1.0076093849080532,0,0,10,0.0
model,gpt-5.6-terra-xhigh,8,8,0,8,0.994139194471087,0.971952326601122,0.9868443859536496,0.9999099877085218,1.001179139647154,0.9536178107606679,1.0013596193065941,0,0,8,0.0
model,qwen-3.6-27B-udq4,62,62,0,62,1.0018837240338385,0.9920169577180077,0.9978756633954675,1.0237478730084957,1.0549682304562447,0.9487790351399643,1.2441385745946576,4,0,58,0.0
model,qwen-3.6-27B-udq4-pi-t,26,26,0,26,1.0093055361223824,0.9970104219041533,0.9997010086166052,1.069856516615556,1.2653119918300768,0.7588073623719498,1.4705566012368918,0,1,25,0.0
model,qwen3.7-plus,47,47,0,47,0.9992312127618681,0.9803305946465392,0.9948020156098492,1.0041294140262156,1.0391026250062398,0.9237951271563222,1.2128146453089246,2,1,44,0
benchmark_backend,black-scholes/hybrid,16,16,0,16,1.0001684676274616,0.9877865364806924,0.9972333196890418,1.0099012179494453,1.2772572367468351,0.8288650353563616,1.873543861099201,0,8,8,-0.5
benchmark_backend,black-scholes/mpi,30,30,0,30,1.034468509087434,0.7938478023635852,0.9617737880920025,1.156138595637366,1.4438068487132296,0.007951429889065137,8.851178981603821,2,0,28,0.0
benchmark_backend,cahn-hilliard/hybrid,26,26,0,26,1.0013415805992198,0.9916666584885458,0.996320767702987,1.008483141116729,1.0203028279701503,0.9738636363636364,1.0307184564610308,0,0,26,0.0
benchmark_backend,cahn-hilliard/mpi,22,22,0,22,1.010999764798533,0.9923287634611874,0.9997269218533931,1.0193235133149314,1.0252174898460131,0.9769403824521935,1.031127228770021,1,0,21,0.0
benchmark_backend,cholesky/hybrid,12,12,0,12,0.9941216678058784,0.9669692339585283,0.9861226611226611,1.0042154978882083,1.006439715611731,0.8597122302158273,1.0323101777059773,3,0,9,0.0
benchmark_backend,cholesky/mpi,20,20,0,20,1.001998559464623,0.9377685035004194,0.9682470106935822,1.0249768704202202,1.0580329153605017,0.9107205623901582,1.113677846731901,1,0,19,0.0
benchmark_backend,floydwarshall/hybrid,37,37,0,37,0.9950293718933574,0.9863189430259476,0.9896308585649108,0.9986462980924669,1.0034669164911691,0.9536178107606679,1.0970719287078294,0,2,35,0
benchmark_backend,floydwarshall/mpi,37,37,0,37,0.9957002457002457,0.9200619819281607,0.9738872403560831,1.0097511768661735,1.046682716694172,0.6502492285782103,1.1523297491039426,0,0,37,0
benchmark_backend,matmul/hybrid,29,29,0,29,1.0017699115044247,0.9808221534227727,0.9941618064546782,1.0085106382978724,1.0343461265103056,0.8413284132841329,1.2025316455696202,1,0,28,0
benchmark_backend,matmul/mpi,34,34,0,34,1.0030543413321857,0.9826537624160339,0.9981487148821725,1.028010212425599,1.1352487890060483,0.9645220871171309,1.1504438998915358,0,0,34,0.0
benchmark_backend,nbody/hybrid,51,51,0,51,0.9980591945657448,0.9944192535751657,0.9960218930965316,1.0004243821702903,1.0036914144968332,0.9935035300762497,1.0119214586255258,0,0,51,0
benchmark_backend,nbody/mpi,43,43,0,43,1.0011492365785586,0.9969313562031402,0.9998649809052493,1.0026699081931052,1.0044054961296196,0.9917337855023315,1.0157706093189964,0,0,43,0
benchmark_backend,qtclustering/hybrid,28,28,0,28,1.0000464606292627,0.9915277933453162,0.9955211329248468,1.001813091890706,1.0338412035741298,0.9798099762470309,1.1001635930993456,0,1,27,0.0
benchmark_backend,qtclustering/mpi,45,45,0,45,1.0,0.9987135576629429,0.9996864417408755,1.000341238696468,1.0008441845712,0.8352059925093633,1.2128146453089246,0,0,45,0
benchmark_backend,roomsim/hybrid,14,14,0,14,1.00327157454146,0.9974293859802359,1.0014444764061516,1.0072097903397002,1.0078844128844129,0.9927501970055161,1.009255858370675,0,0,14,0.0
benchmark_backend,roomsim/mpi,17,17,0,17,1.0004391743522179,0.9937330632067474,0.9975780025644678,1.0048475055544335,1.038323839688272,0.977080862345636,1.110325550805656,14,0,3,1
benchmark_backend,spmv/hybrid,23,23,0,23,1.0,0.997887837635736,0.99947828459394,1.0040579805528944,1.0258056785040202,0.9952431289640592,1.032763783688568,0,0,23,0
benchmark_backend,spmv/mpi,31,31,0,31,1.0005458515283843,0.9966644429619747,0.9986648811606087,1.044788027664546,1.0534082923401265,0.9701285610342,1.2577903682719547,0,1,30,0
benchmark_backend,stencil3d/hybrid,14,14,0,14,1.000956551580484,0.9830784953211561,0.9952628021342843,1.0039826824548395,1.0099777739644875,0.9407591719959609,1.0117994166479696,9,0,5,1.0
benchmark_backend,stencil3d/mpi,23,23,0,23,0.998471117413751,0.9815923660552035,0.9846947030199011,1.0013392482116659,1.0184298805432825,0.8845847704961528,1.0372400482509045,0,0,23,0
benchmark_backend,unstructured/hybrid,14,14,0,14,1.0011634530380988,0.997065667822605,0.9996812371638331,1.002353930586616,1.006496666943763,0.996306903828761,1.0080721747388415,0,0,14,0.0
benchmark_backend,unstructured/mpi,21,21,0,21,1.000600120024005,0.9929240374609781,0.9977289931869796,1.0024953212726138,1.0044096031357177,0.9928543839320201,1.0449009083402148,0,0,21,0
